Datetime,disp
2017/1/1,0
2017/2/1,0.178926274
2017/3/1,0.376253963
2017/4/1,0.581521451
2017/5/1,0.787891924
2017/6/1,0.99541074
2017/7/1,1.203657866
2017/8/1,1.395962358
2017/9/1,1.536122799
2017/10/1,1.539557338
2017/11/1,1.456364989
2017/12/1,2.91764307
2018/1/1,3.671780348
2018/2/1,4.394677162
2018/3/1,4.951679707
2018/4/1,5.182733059
2018/5/1,4.992848873
2018/6/1,4.47376585
2018/7/1,3.858183146
2018/8/1,4.548537254
2018/9/1,6.141858578
2018/10/1,12.3556757
2018/11/1,12.85981369
2018/12/1,11.53394127
2019/1/1,10.35163498
2019/2/1,9.031230927
2019/3/1,7.60811615
2019/4/1,6.11877203
2019/5/1,4.670918941
2019/6/1,3.485866785
2019/7/1,2.865976334
2019/8/1,3.043061733
2019/9/1,5.280146122
2019/10/1,6.562154293
2019/11/1,7.603070736
2019/12/1,8.394989967
2020/1/1,8.787501335
2020/2/1,8.38684082
2020/3/1,7.796051979
2020/4/1,7.322829247
2020/5/1,7.279139996
2020/6/1,7.900920868
2020/7/1,9.213609695
2020/8/1,12.48550129
2020/9/1,13.61122799
2020/10/1,14.32740307
2020/11/1,14.85889149
2020/12/1,15.38366318
2021/1/1,15.93926525
2021/2/1,16.43518448
2021/3/1,16.72049904
2021/4/1,16.69033241
2021/5/1,16.38565445
2021/6/1,16.00731468
2021/7/1,15.80541229
2021/8/1,15.91339111
2021/9/1,16.25631523
2021/10/1,16.59273911
2021/11/1,16.64488792
2021/12/1,16.24945068
2022/1/1,14.56659889
2022/2/1,
2022/3/1,
2022/4/1,
