Datetime,disp
2017/1/1,0
2017/2/1,-1.37742281
2017/3/1,-2.775835752
2017/4/1,-4.003516674
2017/5/1,-4.843219757
2017/6/1,-5.14098978
2017/7/1,-4.885648251
2017/8/1,-4.222423077
2017/9/1,-3.389459848
2017/10/1,-2.005355358
2017/11/1,-1.50209415
2017/12/1,1.425851464
2018/1/1,2.423996687
2018/2/1,3.681741476
2018/3/1,5.151369095
2018/4/1,6.596148014
2018/5/1,7.667311668
2018/6/1,8.098739624
2018/7/1,7.591160297
2018/8/1,7.674351215
2018/9/1,8.726139069
2018/10/1,18.39454842
2018/11/1,21.92656708
2018/12/1,26.0795002
2019/1/1,26.55303574
2019/2/1,26.18157768
2019/3/1,25.22691536
2019/4/1,23.95026779
2019/5/1,22.64988136
2019/6/1,21.72805786
2019/7/1,21.65520096
2019/8/1,22.75206947
2019/9/1,27.50992393
2019/10/1,29.91923141
2019/11/1,31.7400589
2019/12/1,31.34461403
2020/1/1,33.16328812
2020/2/1,32.00570297
2020/3/1,31.25548744
2020/4/1,30.91721344
2020/5/1,31.25623703
2020/6/1,32.38540268
2020/7/1,34.16844559
2020/8/1,37.79867935
2020/9/1,38.80178833
2020/10/1,39.26394272
2020/11/1,39.43763351
2020/12/1,39.51280212
2021/1/1,39.54963684
2021/2/1,39.50254059
2021/3/1,39.28844452
2021/4/1,38.88436508
2021/5/1,38.4014473
2021/6/1,38.06513977
2021/7/1,38.09271622
2021/8/1,38.54955292
2021/9/1,39.2866745
2021/10/1,39.98620987
2021/11/1,40.2756691
2021/12/1,39.88156509
2022/1/1,37.28573227
2022/2/1,
2022/3/1,
2022/4/1,
