Datetime,disp
2017/1/1,0
2017/2/1,-0.038975347
2017/3/1,-0.038267601
2017/4/1,0.073510759
2017/5/1,0.397699505
2017/6/1,1.040998578
2017/7/1,2.076568365
2017/8/1,3.503096581
2017/9/1,5.213020802
2017/10/1,8.489952087
2017/11/1,9.416521072
2017/12/1,7.800213337
2018/1/1,7.848138809
2018/2/1,8.162831306
2018/3/1,8.543284416
2018/4/1,8.77890873
2018/5/1,8.667331696
2018/6/1,8.083977699
2018/7/1,5.831419945
2018/8/1,4.6248703
2018/9/1,3.612965107
2018/10/1,1.910454035
2018/11/1,1.660932541
2018/12/1,1.701869607
2019/1/1,2.073043585
2019/2/1,2.604988098
2019/3/1,3.10458231
2019/4/1,3.357930899
2019/5/1,3.315056086
2019/6/1,3.248473644
2019/7/1,3.704518557
2019/8/1,5.170727253
2019/9/1,10.54103565
2019/10/1,13.17652798
2019/11/1,15.21957111
2019/12/1,16.56626129
2020/1/1,17.63526535
2020/2/1,18.03562355
2020/3/1,17.78406143
2020/4/1,17.6276989
2020/5/1,17.84316635
2020/6/1,18.55492783
2020/7/1,19.61618614
2020/8/1,20.98932266
2020/9/1,20.68280411
2020/10/1,19.89626503
2020/11/1,18.96294785
2020/12/1,18.12294388
2021/1/1,17.48538971
2021/2/1,17.03969002
2021/3/1,16.66473579
2021/4/1,16.17810822
2021/5/1,15.44919682
2021/6/1,14.5086832
2021/7/1,13.54854584
2021/8/1,12.79335117
2021/9/1,12.34663677
2021/10/1,12.12973881
2021/11/1,11.9428854
2021/12/1,11.60212612
2022/1/1,10.50740051
2022/2/1,
2022/3/1,
2022/4/1,
