Datetime,disp
2017/1/1,0
2017/2/1,-0.833755016
2017/3/1,-1.537511349
2017/4/1,-1.981538534
2017/5/1,-2.041946888
2017/6/1,-1.648717523
2017/7/1,-0.816629171
2017/8/1,0.355654001
2017/9/1,1.707819581
2017/10/1,4.184360504
2017/11/1,4.998651505
2017/12/1,6.368378639
2018/1/1,7.18710947
2018/2/1,8.273533821
2018/3/1,9.45601368
2018/4/1,10.46455383
2018/5/1,11.00368118
2018/6/1,10.90981579
2018/7/1,9.551961899
2018/8/1,9.032599449
2018/9/1,8.845264435
2018/10/1,6.730267525
2018/11/1,4.600367546
2018/12/1,0.0602604
2019/1/1,-1.586014986
2019/2/1,-2.679109335
2019/3/1,-3.3512187
2019/4/1,-3.78554678
2019/5/1,-4.055376053
2019/6/1,-3.979623795
2019/7/1,-3.122406483
2019/8/1,-1.050723672
2019/9/1,6.191638947
2019/10/1,10.03826237
2019/11/1,13.33694649
2019/12/1,16.84951782
2020/1/1,17.9337635
2020/2/1,19.71733856
2020/3/1,19.85960007
2020/4/1,19.85514641
2020/5/1,19.92362022
2020/6/1,20.21374512
2020/7/1,20.79197311
2020/8/1,22.52576256
2020/9/1,23.31821442
2020/10/1,23.80241203
2020/11/1,23.85441971
2020/12/1,23.45988464
2021/1/1,22.73860359
2021/2/1,21.89528847
2021/3/1,21.10808182
2021/4/1,20.45910835
2021/5/1,19.975317
2021/6/1,19.71883011
2021/7/1,19.80228233
2021/8/1,20.28201866
2021/9/1,21.01453781
2021/10/1,21.60382462
2021/11/1,21.51318741
2021/12/1,20.3415432
2022/1/1,15.47167301
2022/2/1,
2022/3/1,
2022/4/1,
