Datetime,disp
2017/1/1,0
2017/2/1,0.44166863
2017/3/1,0.77062726
2017/4/1,0.83143568
2017/5/1,0.460647404
2017/6/1,-0.428420454
2017/7/1,-1.766882062
2017/8/1,-3.317599058
2017/9/1,-4.75976038
2017/10/1,-6.511787415
2017/11/1,-6.962527275
2017/12/1,-8.825007439
2018/1/1,-8.915532112
2018/2/1,-8.961706161
2018/3/1,-8.991930962
2018/4/1,-8.94456768
2018/5/1,-8.722589493
2018/6/1,-8.269997597
2018/7/1,-6.961391926
2018/8/1,-6.398129463
2018/9/1,-6.007593632
2018/10/1,-4.718565941
2018/11/1,-3.625258207
2018/12/1,-0.3649275
2019/1/1,1.401842952
2019/2/1,2.979148626
2019/3/1,4.266069412
2019/4/1,5.265278339
2019/5/1,6.023344517
2019/6/1,6.559711933
2019/7/1,6.84545517
2019/8/1,6.855955124
2019/9/1,6.361464024
2019/10/1,6.131755829
2019/11/1,6.004882813
2019/12/1,5.096922398
2020/1/1,5.976368904
2020/2/1,6.277166367
2020/3/1,6.557629108
2020/4/1,6.85389328
2020/5/1,7.091532707
2020/6/1,7.210410118
2020/7/1,7.196443558
2020/8/1,7.090454102
2020/9/1,7.217249393
2020/10/1,7.490498543
2020/11/1,7.826515675
2020/12/1,8.118617058
2021/1/1,8.278647423
2021/2/1,8.265932083
2021/3/1,8.105527878
2021/4/1,7.886274815
2021/5/1,7.725763321
2021/6/1,7.712449551
2021/7/1,7.85865736
2021/8/1,8.096299171
2021/9/1,8.318881035
2021/10/1,8.448555946
2021/11/1,8.487556458
2021/12/1,8.517735481
2022/1/1,8.881258965
2022/2/1,
2022/3/1,
2022/4/1,
