Datetime,disp
2017/1/1,0
2017/2/1,0.46182
2017/3/1,1.1541
2017/4/1,2.0259
2017/5/1,2.9439
2017/6/1,3.72
2017/7/1,4.1874
2017/8/1,4.2846
2017/9/1,4.0905
2017/10/1,3.5731
2017/11/1,3.5068
2017/12/1,1.5993
2018/1/1,0.76451
2018/2/1,0.12386
2018/3/1,-0.155
2018/4/1,0.14393
2018/5/1,1.2324
2018/6/1,3.1781
2018/7/1,8.4881
2018/8/1,10.86
2018/9/1,12.557
2018/10/1,13.411
2018/11/1,13.022
2018/12/1,12.263
2019/1/1,11.653
2019/2/1,10.628
2019/3/1,9.095
2019/4/1,7.1452
2019/5/1,5.0137
2019/6/1,2.9317
2019/7/1,0.96298
2019/8/1,-1.0311
2019/9/1,-5.7451
2019/10/1,-8.4594
2019/11/1,-11.427
2019/12/1,-11.49
2020/1/1,-20.074
2020/2/1,-37.206
2020/3/1,-49.774
2020/4/1,-65.188
2020/5/1,-83.948
2020/6/1,-106.77
2020/7/1,-133.84
2020/8/1,-192.7
2020/9/1,-217.62
2020/10/1,-237.02
2020/11/1,-251.35
2020/12/1,-261.76
2021/1/1,-269.56
2021/2/1,-276.16
2021/3/1,-283.12
2021/4/1,-291.85
2021/5/1,-303.19
2021/6/1,-317.06
2021/7/1,-332.62
2021/8/1,-348.66
2021/9/1,-364.21
2021/10/1,-378.85
2021/11/1,-392.56
2021/12/1,-405.29
2022/1/1,-425.76
2022/2/1,
2022/3/1,
2022/4/1,
