Datetime,disp
2017/1/1,0
2017/2/1,0.20213
2017/3/1,0.28905
2017/4/1,0.2604
2017/5/1,0.15389
2017/6/1,0.014607
2017/7/1,-0.15698
2017/8/1,-0.41921
2017/9/1,-0.8432
2017/10/1,-2.1683
2017/11/1,-2.9725
2017/12/1,-6.0363
2018/1/1,-6.4665
2018/2/1,-6.8899
2018/3/1,-7.287
2018/4/1,-7.4623
2018/5/1,-7.081
2018/6/1,-5.8356
2018/7/1,-1.0142
2018/8/1,1.6856
2018/9/1,3.9957
2018/10/1,7.4885
2018/11/1,7.7991
2018/12/1,7.2042
2019/1/1,5.8893
2019/2/1,3.6843
2019/3/1,0.65196
2019/4/1,-2.9098
2019/5/1,-6.5485
2019/6/1,-9.8545
2019/7/1,-12.649
2019/8/1,-15.004
2019/9/1,-18.938
2019/10/1,-20.594
2019/11/1,-22.277
2019/12/1,-21.114
2020/1/1,-29.416
2020/2/1,-49.565
2020/3/1,-65.123
2020/4/1,-83.859
2020/5/1,-105.93
2020/6/1,-131.96
2020/7/1,-162.2
2020/8/1,-227.32
2020/9/1,-254.89
2020/10/1,-276.21
2020/11/1,-291.65
2020/12/1,-302.49
2021/1/1,-310.44
2021/2/1,-317.49
2021/3/1,-325.74
2021/4/1,-336.82
2021/5/1,-351.3
2021/6/1,-368.59
2021/7/1,-387.21
2021/8/1,-405.58
2021/9/1,-422.56
2021/10/1,-437.8
2021/11/1,-451.48
2021/12/1,-463.8
2022/1/1,-483.15
2022/2/1,
2022/3/1,
2022/4/1,
