Datetime,disp
2017/1/1,0
2017/2/1,0.442693651
2017/3/1,0.933860958
2017/4/1,1.440707326
2017/5/1,1.901671529
2017/6/1,2.232549906
2017/7/1,2.359244108
2017/8/1,2.268177509
2017/9/1,2.045834541
2017/10/1,1.906671405
2017/11/1,2.282393694
2017/12/1,4.628417492
2018/1/1,4.968967915
2018/2/1,5.302287579
2018/3/1,5.569137096
2018/4/1,5.656414032
2018/5/1,5.473133087
2018/6/1,5.028884411
2018/7/1,4.050981045
2018/8/1,4.041640759
2018/9/1,4.691022396
2018/10/1,10.34800434
2018/11/1,11.989048
2018/12/1,12.90601063
2019/1/1,12.3481245
2019/2/1,11.35888004
2019/3/1,10.10458565
2019/4/1,8.717311859
2019/5/1,7.353724003
2019/6/1,6.262099743
2019/7/1,5.751988888
2019/8/1,6.014138222
2019/9/1,7.965382099
2019/10/1,8.775539398
2019/11/1,9.227657318
2019/12/1,9.174461365
2020/1/1,9.731768608
2020/2/1,10.24414539
2020/3/1,10.38781261
2020/4/1,10.4970932
2020/5/1,10.69631004
2020/6/1,11.10925865
2020/7/1,11.75409317
2020/8/1,12.89971066
2020/9/1,12.91111565
2020/10/1,12.5316124
2020/11/1,11.92749023
2020/12/1,11.2503233
2021/1/1,10.59516716
2021/2/1,10.01121902
2021/3/1,9.513016701
2021/4/1,9.094639778
2021/5/1,8.759724617
2021/6/1,8.545969963
2021/7/1,8.505820274
2021/8/1,8.648058891
2021/9/1,8.896917343
2021/10/1,9.109420776
2021/11/1,9.14107132
2021/12/1,8.928003311
2022/1/1,8.163720131
2022/2/1,
2022/3/1,
